reference_designator,name,start_depth,end_depth,location
CE05MOAS-GL382-01-PARADM000,Photosynthetically Available Radiation,0,200,
CE05MOAS-GL382-02-FLORTM000,3-Wavelength Fluorometer,0,200,
CE05MOAS-GL382-03-ADCPAM000,Velocity Profiler (600kHz),0,200,
CE05MOAS-GL382-04-DOSTAM000,Dissolved Oxygen,0,200,
CE05MOAS-GL382-05-CTDGVM000,CTD,0,200,
CE05MOAS-GL383-00-ENG000000,Mobile Asset Controller,0,200,
CE05MOAS-GL383-01-PARADM000,Photosynthetically Available Radiation,0,200,
CE05MOAS-GL383-02-FLORTM000,3-Wavelength Fluorometer,0,200,
CE05MOAS-GL383-03-ADCPAM000,Velocity Profiler (600kHz),0,200,
CE05MOAS-GL383-04-DOSTAM000,Dissolved Oxygen,0,200,
CE05MOAS-GL383-05-CTDGVM000,CTD,0,200,
CE05MOAS-GL384-00-ENG000000,Mobile Asset Controller,0,1000,
CE05MOAS-GL384-01-PARADM000,Photosynthetically Available Radiation,0,1000,
CE05MOAS-GL384-02-FLORTM000,3-Wavelength Fluorometer,0,1000,
CE05MOAS-GL384-03-ADCPAM000,Velocity Profiler (600kHz),0,1000,
CE05MOAS-GL384-04-DOSTAM000,Dissolved Oxygen,0,1000,
CE05MOAS-GL384-05-CTDGVM000,CTD,0,1000,
CE05MOAS-GL386-00-ENG000000,Mobile Asset Controller,0,1000,
CE05MOAS-GL386-01-PARADM000,Photosynthetically Available Radiation,0,1000,
CE05MOAS-GL386-02-FLORTM000,3-Wavelength Fluorometer,0,1000,
CE05MOAS-GL386-03-ADCPAM000,Velocity Profiler (600kHz),0,0,
CE05MOAS-GL386-04-DOSTAM000,Dissolved Oxygen,0,1000,
CE05MOAS-GL386-05-CTDGVM000,CTD,0,1000,
CE06ISSM-MFC31-00-CPMENG000,Platform Controller,29,29,
CE06ISSM-MFD35-00-DCLENG000,Data Concentrator Logger (DCL),29,29,
CE06ISSM-MFD35-01-VEL3DD000,3-D Single Point Velocity Meter,29,29,Multi-Function Node
CE06ISSM-MFD35-02-PRESFA000,Seafloor Pressure,29,29,Multi-Function Node
CE06ISSM-MFD35-04-ADCPTM000,Velocity Profiler (600kHz),29,29,Multi-Function Node
CE06ISSM-MFD35-05-PCO2WB000,pCO2 Water,29,29,Multi-Function Node
CE06ISSM-MFD35-06-PHSEND000,Seawater pH,29,29,Multi-Function Node
CE06ISSM-MFD37-00-DCLENG000,Data Concentrator Logger (DCL),29,29,
CE06ISSM-MFD37-01-OPTAAD000,Spectrophotometer,29,29,Multi-Function Node
CE06ISSM-MFD37-03-CTDBPC000,CTD,29,29,Multi-Function Node
CE06ISSM-MFD37-03-DOSTAD000,,,,Multi-Function Node
CE06ISSM-MFD37-06-CAMDSA000,Digital Still Camera,29,29,Multi-Function Node
CE06ISSM-MFD37-07-ZPLSCC000,Bio-acoustic Sonar (Coastal),29,29,Multi-Function Node
CE06ISSM-RID16-00-DCLENG000,Data Concentrator Logger (DCL),7,7,
CE06ISSM-RID16-01-OPTAAD000,Spectrophotometer,7,7,Near Surface Instrument Frame
CE06ISSM-RID16-02-FLORTD000,3-Wavelength Fluorometer,7,7,Near Surface Instrument Frame
CE06ISSM-RID16-03-CTDBPC000,CTD,7,7,Near Surface Instrument Frame
CE06ISSM-RID16-03-DOSTAD000,Dissolved Oxygen,7,7,Near Surface Instrument Frame
CE06ISSM-RID16-04-VELPTA000,Single Point Velocity Meter,7,7,Near Surface Instrument Frame
CE06ISSM-RID16-05-PCO2WB000,pCO2 Water,7,7,Near Surface Instrument Frame
CE06ISSM-RID16-06-PHSEND000,Seawater pH,7,7,Near Surface Instrument Frame
CE06ISSM-RID16-07-NUTNRB000,Nitrate,7,7,Near Surface Instrument Frame
CE06ISSM-RID16-08-SPKIRB000,Spectral Irradiance,7,7,Near Surface Instrument Frame
CE06ISSM-SBC11-00-CPMENG000,Platform Controller,0,0,
CE06ISSM-SBD17-00-DCLENG000,Data Concentrator Logger (DCL),0,0,
CE06ISSM-SBD17-01-MOPAK0000,3-Axis Motion Pack,0,0,"Buoy Well, center of Mass"
CE06ISSM-SBD17-04-VELPTA000,Single Point Velocity Meter,1,1,Bottom of Buoy
CE06ISSM-SBD17-06-CTDBPC000,,,,
CE06ISSM-SBD17-06-FLORTD000,,,,
CE06ISSP-SP001-00-SPPENG000,Profiler Controller,0,29,
CE06ISSP-SP001-02-DOSTAJ000,Dissolved Oxygen,0,29,Surface Piercing Profiler
CE06ISSP-SP001-04-OPTAAJ000,Spectrophotometer,0,29,Surface Piercing Profiler
CE06ISSP-SP001-05-VELPTJ000,Single Point Velocity Meter,0,29,Surface Piercing Profiler
CE06ISSP-SP001-06-NUTNRJ000,Nitrate,0,29,Surface Piercing Profiler
CE06ISSP-SP001-07-SPKIRJ000,Spectral Irradiance,0,29,Surface Piercing Profiler
CE06ISSP-SP001-08-FLORTJ000,3-Wavelength Fluorometer,0,29,Surface Piercing Profiler
CE06ISSP-SP001-09-CTDPFJ000,CTD,0,29,Surface Piercing Profiler
CE06ISSP-SP001-10-PARADJ000,Photosynthetically Available Radiation,0,29,Surface Piercing Profiler
CE07SHSM-MFC31-00-CPMENG000,Platform Controller,87,87,
CE07SHSM-MFD35-00-DCLENG000,Data Concentrator Logger (DCL),87,87,
CE07SHSM-MFD35-01-VEL3DD000,3-D Single Point Velocity Meter,87,87,Multi-Function Node
CE07SHSM-MFD35-02-PRESFB000,Seafloor Pressure,87,87,Multi-Function Node
CE07SHSM-MFD35-04-ADCPTC000,Velocity Profiler (300kHz),87,87,Multi-Function Node
CE07SHSM-MFD35-05-PCO2WB000,pCO2 Water,87,87,Multi-Function Node
CE07SHSM-MFD35-06-PHSEND000,Seawater pH,87,87,Multi-Function Node
CE07SHSM-MFD37-00-DCLENG000,Data Concentrator Logger (DCL),87,87,
CE07SHSM-MFD37-01-OPTAAD000,Spectrophotometer,87,87,Multi-Function Node
CE07SHSM-MFD37-03-CTDBPC000,CTD,87,87,Multi-Function Node
CE07SHSM-MFD37-03-DOSTAD000,,,,Multi-Function Node
CE07SHSM-MFD37-06-CAMDSA000,Digital Still Camera,87,87,Multi-Function Node
CE07SHSM-MFD37-07-ZPLSCC000,Bio-acoustic Sonar (Coastal),87,87,Multi-Function Node
CE07SHSM-RIC21-00-CPMENG000,Platform Controller,7,7,
CE07SHSM-RID26-00-DCLENG000,Data Concentrator Logger (DCL),7,7,
CE07SHSM-RID26-01-ADCPTA000,Velocity Profiler (600kHz),7,7,Near Surface Instrument Frame
CE07SHSM-RID26-04-VELPTA000,Single Point Velocity Meter,7,7,Near Surface Instrument Frame
CE07SHSM-RID26-06-PHSEND000,Seawater pH,7,7,Near Surface Instrument Frame
CE07SHSM-RID26-07-NUTNRB000,Nitrate,7,7,Near Surface Instrument Frame
CE07SHSM-RID26-08-SPKIRB000,Spectral Irradiance,7,7,Near Surface Instrument Frame
CE07SHSM-RID27-00-DCLENG000,Data Concentrator Logger (DCL),7,7,
CE07SHSM-RID27-01-OPTAAD000,Spectrophotometer,7,7,Near Surface Instrument Frame
CE07SHSM-RID27-02-FLORTD000,3-Wavelength Fluorometer,7,7,Near Surface Instrument Frame
CE07SHSM-RID27-03-CTDBPC000,CTD,7,7,Near Surface Instrument Frame
CE07SHSM-RID27-04-DOSTAD000,Dissolved Oxygen,7,7,Near Surface Instrument Frame
CE07SHSM-SBC11-00-CPMENG000,Platform Controller,0,0,
CE07SHSM-SBD11-00-DCLENG000,Data Concentrator Logger (DCL),0,0,
CE07SHSM-SBD11-01-MOPAK0000,3-Axis Motion Pack,0,0,"Buoy Well, center of Mass"
CE07SHSM-SBD11-02-HYDGN0000,Hydrogen Sensor,0,0,Buoy Well
CE07SHSM-SBD11-04-VELPTA000,,,,Bottom of Buoy
CE07SHSM-SBD11-06-METBKA000,Bulk Meteorology Instrument Package,-3,-3,Buoy Tower
CE07SHSM-SBD12-00-DCLENG000,Data Concentrator Logger (DCL),0,0,
CE07SHSM-SBD12-03-HYDGN0000,Hydrogen Sensor,0,0,Buoy Well
CE07SHSM-SBD12-04-PCO2AA000,,,,"Buoy Well (1 probe in air, 1 probe in water)"
CE07SHSM-SBD12-05-WAVSSA000,Surface Wave Spectra,0,0,"Buoy Well, center of Mass"
CE07SHSP-SP001-00-SPPENG000,Profiler Controller,0,87,
CE07SHSP-SP001-01-DOSTAJ000,Dissolved Oxygen,0,87,Surface Piercing Profiler
CE07SHSP-SP001-02-VELPTJ000,Single Point Velocity Meter,0,87,Surface Piercing Profiler
CE07SHSP-SP001-04-OPTAAJ000,Spectrophotometer,0,87,Surface Piercing Profiler
CE07SHSP-SP001-05-NUTNRJ000,Nitrate,0,87,Surface Piercing Profiler
CE07SHSP-SP001-06-SPKIRJ000,Spectral Irradiance,0,87,Surface Piercing Profiler
CE07SHSP-SP001-07-FLORTJ000,3-Wavelength Fluorometer,0,87,Surface Piercing Profiler
CE07SHSP-SP001-08-CTDPFJ000,CTD,0,87,Surface Piercing Profiler
CE07SHSP-SP001-09-PARADJ000,Photosynthetically Available Radiation,0,87,Surface Piercing Profiler
CE09OSPM-SBS01-00-STCENG000,Platform Controller,0,0,
CE09OSPM-WFP01-00-WFPENG000,Profiler Controller,15,540,
CE09OSPM-WFP01-01-VEL3DK000,3-D Single Point Velocity Meter,15,540,
CE09OSPM-WFP01-02-DOFSTK000,Dissolved Oxygen,15,540,
CE09OSPM-WFP01-03-CTDPFK000,CTD,15,540,
CE09OSPM-WFP01-04-FLORTK000,3-Wavelength Fluorometer,15,540,
CE09OSPM-WFP01-05-PARADK000,Photosynthetically Available Radiation,15,540,
CE09OSSM-MFC31-00-CPMENG000,Platform Controller,540,540,
CE09OSSM-MFD35-00-DCLENG000,Data Concentrator Logger (DCL),540,540,
CE09OSSM-MFD35-01-VEL3DD000,3-D Single Point Velocity Meter,540,540,Multi-Function Node
CE09OSSM-MFD35-02-PRESFC000,Seafloor Pressure,540,540,Multi-Function Node
CE09OSSM-MFD35-04-ADCPSJ000,Velocity Profiler (75 kHz),540,540,Multi-Function Node
CE09OSSM-MFD35-05-PCO2WB000,pCO2 Water,540,540,Multi-Function Node
CE09OSSM-MFD35-06-PHSEND000,Seawater pH,540,540,Multi-Function Node
CE09OSSM-MFD37-00-DCLENG000,Data Concentrator Logger (DCL),540,540,
CE09OSSM-MFD37-01-OPTAAC000,Spectrophotometer,540,540,Multi-Function Node
CE09OSSM-MFD37-03-CTDBPE000,CTD,540,540,Multi-Function Node
CE09OSSM-MFD37-03-DOSTAD000,,,,Multi-Function Node
CE09OSSM-MFD37-06-CAMDSA000,Digital Still Camera,540,540,Multi-Function Node
CE09OSSM-MFD37-07-ZPLSCC000,Bio-acoustic Sonar (Coastal),540,540,Multi-Function Node
CE09OSSM-RIC21-00-CPMENG000,Platform Controller,7,7,
CE09OSSM-RID26-00-DCLENG000,Data Concentrator Logger (DCL),7,7,
CE09OSSM-RID26-01-ADCPTC000,Velocity Profiler (300kHz),7,7,Near Surface Instrument Frame
CE09OSSM-RID26-04-VELPTA000,Single Point Velocity Meter,7,7,Near Surface Instrument Frame
CE09OSSM-RID26-06-PHSEND000,Seawater pH,7,7,Near Surface Instrument Frame
CE09OSSM-RID26-07-NUTNRB000,Nitrate,7,7,Near Surface Instrument Frame
CE09OSSM-RID26-08-SPKIRB000,Spectral Irradiance,7,7,Near Surface Instrument Frame
CE09OSSM-RID27-00-DCLENG000,Data Concentrator Logger (DCL),7,7,
CE09OSSM-RID27-01-OPTAAD000,Spectrophotometer,7,7,Near Surface Instrument Frame
CE09OSSM-RID27-02-FLORTD000,3-Wavelength Fluorometer,7,7,Near Surface Instrument Frame
CE09OSSM-RID27-03-CTDBPC000,CTD,7,7,Near Surface Instrument Frame
CE09OSSM-RID27-04-DOSTAD000,Dissolved Oxygen,7,7,Near Surface Instrument Frame
CE09OSSM-SBC11-00-CPMENG000,Platform Controller,0,0,
