Array,CUID,CTD_CruiseName,CTD_CruiseLeg,Notes,filepath_primary,Quick_Look_Report,Cruise_Report,filepath_water_sampling,CTD_log_filename,chla_filename,nutrients_filename,DIC_TA_pH_filename
Global_Argentine_Basin,NBP-15-10,GA2,,,/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-02_NBP-15-10_2015-11-07/,3206-00202_Quick_Look_Cruise_Report_Argentine_Basin-2_2016-01-16_Ver_1-00.pdf,3206-00203_Cruise_Report_Argentine_Basin_2_2016-10-20_Ver_1-00.pdf,Ship Data/Water Sampling/,missing,Argentine_Basin-2_NBP15-10_chlorophyll_analysis.xlsx,missing,missing
Global_Argentine_Basin,NBP16-09,GA3,,,/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-03_NBP-16-09_2016-10-20/,3206-00302_Quick_Look_Cruise_Report_Argentine_Basin-3_2017-03-14_Ver_1-00.pdf,3206-00303_Cruise_Report_Argentine_Basin-3_2017-08-10_Ver_1-00.pdf,Ship Data/Water Sampling/,missing,missing,missing,missing
Global_Argentine_Basin,AT39-03,GA4,,,/Volumes/webdav/OOI/Global Argentine Basin Array/Cruise Data/Argentine_Basin-04_AT-39-03_2018-01-05/,3206-00402_Quick_Look_Cruise_Report_Argentine_Basin-4_2018-03-16_Ver_1-00.pdf,missing,Ship Data/Water Sampling/,missing,missing,AT39-03_Nutrient_Lab_Results.xlsx,missing
Global_Irminger,KN-221-4,GI1,,,/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-01_KN-221_2014-09-07/,3202-00102_Irminger-1_Quick_Look_Report_2015-03-29_Ver_1-01.pdf,3202-00103_Irminger-1_Cruise_Report_2015-03-29_Ver_1-01.pdf,Ship Data/Water Sampling/,missing,Irminger-1_KN-221_chlorophyll_analysis.xlsx,missing,missing
Global_Irminger,AT-30-01,GI2,,,/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-02_AT-30-01_2015-08-05/,3202-00202_Quick_Look_Report_Irminger-2_2016-01-21_Ver_1-00.pdf,3202-00203_Cruise_Report_Irminger-2_2016-01-21_Ver_1-00.pdf,Ship Data/Water Sampling/,Irminger-2_CTD_Sampling_Logs.xlsx,Irminger-2_AT30-01_chlorophyll_analysis.xlsx,Irminger-2_AT30-01_Nutrient_Lab_Results.xlsx,missing
Global_Irminger,AR-07-01,GI3,,,/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-03_AR-07-01_2016-06-30/,3202-00302_Quick_Look_Cruise_Report_Irminger-3_2016-08-08_Ver_1-00.pdf,3202-00303_Cruise_Report_Irminger-3_2018-02-22_Ver_1-02.pdf,Ship Data/Water Sampling/,CTD_sampling_log_AR07-01.xlsx,missing,Irminger-3_AR07-01_Nutrient_Lab_Results.xlsx,missing
Global_Irminger,AR21,GI4,,,/Volumes/webdav/OOI/Global Irminger Sea Array/Cruise Data/Irminger_Sea-04_AR21_2017-07-28/,3202-00402_Quick_Look_Cruise_Report_Irminger-4_2017-09-18_Ver_1-00.pdf,3202-00403_Cruise_Report_Irminger-4_2018-01-25_Ver_1-00.pdf,Ship Data/Water Sampling/,CTD_sampling_log_Irminger-4.xlsx,missing,IRMINGER-4_AR21_Nutrient_Lab_Results.xlsx,missing
Global_Papa,MV-1309,GP1,,,/Volumes/webdav/OOI/Global Station Papa Array/Cruise Data/Station_Papa-01_MV-130_2013-07-15/,3203-00021_Station_PAPA_1_Deployment_Quick-Look_Report_2014-01-14_Ver_1-00.pdf,3203-00020_Station_PAPA_1_Deployment_Cruise_Report_2013-09-11_Ver_1-00.pdf,,missing,missing,missing,missing
Global_Papa,MV-1404,GP2,,,/Volumes/webdav/OOI/Global Station Papa Array/Cruise Data/Station_Papa-02_MV-1404_2014-06-10/,3203-00202_Station_PAPA_2_Deployment_Quick_Look_Report_2014-12-01_Ver_1-00.pdf,3203-00203_Station_PAPA_2_Deployment_Cruise_Report_2014-12-01_Ver_1-00.pdf,Ship Data/Water Sampling/,missing,CHL/acetone_extractions_2014_08_01_PAPA.xlsx,missing,Carbon/carbon_papa2014_cruise.xlsx
Global_Papa,TN-323,GP3,,,/Volumes/webdav/OOI/Global Station Papa Array/Cruise Data/Station_Papa-03_TN-323_2015-05-29/,3203-00302_Station_Papa_3_Deployment_Quick_Look_Report_2015-07-31_Ver_1-00.pdf,3203-00303_Station_Papa_3_Deployment_Cruise_Report_2015-07-31_Ver_1-00.pdf,,missing,missing,missing,missing
Global_Papa,RB-16-05,GP4,,,/Volumes/webdav/OOI/Global Station Papa Array/Cruise Data/Station_Papa-04_RB-16-05_2016-06-22/,3203-00402_Station_Papa_4_Deployment_Quick_Look_Report_2016-08-10_Ver_1-00.pdf,missing,,missing,missing,missing,missing
Global_Papa,SR17-10,GP5,,,/Volumes/webdav/OOI/Global Station Papa Array/Cruise Data/Station_Papa-05_SR-17-11_2017-07-07/,3203-00502_Station_Papa_5_Deployment_Quick_Look_2017-07-25_Ver_1-00.pdf,missing,,missing,missing,missing,missing
Global_Southern_Ocean,AT-26-29,GS1,,,/Volumes/webdav/OOI/Global Southern Ocean Array/Cruise Data/Southern_Ocean-01_AT-26-29_2015-02-12/,3201-00102_Quick_Look_Report_Southern_Ocean_1_2015-05-26_Ver_1-00.pdf,3201-00103_Cruise_Report_Southern_Ocean_1_2015-07-14_Ver_1-00.pdf,Ship Data/Water Sampling/,missing,Southern_Ocean-1_AT26-29_chlorophyll_analysis.xlsx,Southern-1_AT26-29_Nutrient_Lab_Results.xlsx,Southern-1_AT26-29_Carbon_Lab_Results.xlsx
Global_Southern_Ocean,NBP-15-11,GS2,,,/Volumes/webdav/OOI/Global Southern Ocean Array/Cruise Data/Southern_Ocean-02_NBP-15-11_2015-12-07/,3201-00202_Quick_Look_Report_Southern_Ocean_2_2016-03-09_Ver_1-00.pdf,3201-00203_Cruise_Report_Southern_Ocean_2_2017-04-06_Ver_1-01.pdf,Ship Data/Water Sampling/,missing,Southern_Ocean-2_NBP15-11_chlorophyll_analysis.xlsx,missing,Southern-2_NBP15-11_Carbon_Lab_Results.xlsx
Global_Southern_Ocean,NBP16-10,GS3,,,/Volumes/webdav/OOI/Global Southern Ocean Array/Cruise Data/Southern_Ocean-03_NBP-16-10_2016-10-18/,3201-00302_Quick_Look_Report_Southern_Ocean_3_2017-07-05_Ver_1-00.pdf,3201-00303_Cruise Report_Southern_Ocean_3_2017-07-05_Ver_1-00.pdf,Ship Data/Water Sampling/,CTD_Station_SamplingLog_SouthernOcean3.xlsx,missing,missing,missing
Global_Southern_Ocean,NBP17-09,GS4,,,/Volumes/webdav/OOI/Global Southern Ocean Array/Cruise Data/Southern_Ocean-04_NBP-17-09_2017-11-23/,3201-00402_Quick_Look_Report_Southern_Ocean_4_2018-01-25_Ver_1-00.pdf,3201-00403_Cruise_Report_Southern_Ocean_4_2018-05-11_Ver_1-00.pdf,Ship Data/Water Samples/,missing,missing,NBP17-09_Nutrient_Lab_Results.xlsx,missing
